liwc_posemo,liwc_negemo,liwc_anxiety,liwc_anger,liwc_sadness,liwc_cogproc,liwc_tentativeness,liwc_self_focus,liwc_social,liwc_work,liwc_time_pressure,liwc_somatic,liwc_coping
1.64,3.28,2.19,0.0,0.0,7.1,1.64,7.65,10.38,8.2,6.01,0.0,2.46
0.88,0.88,0.0,0.0,0.44,14.1,4.41,3.96,5.73,4.85,10.13,0.0,1.54
1.3,0.43,0.0,0.0,0.0,8.23,0.87,8.23,7.36,3.03,12.12,0.65,1.9475000000000002
1.14,2.84,2.84,0.0,0.0,9.09,3.41,7.95,1.14,1.7,9.09,0.855,0.7100000000000001
0.0,0.0,0.0,0.0,0.0,12.56,0.0,8.04,5.03,2.51,13.07,0.0,0.8800000000000001
0.0,0.0,0.0,0.0,0.0,15.79,2.11,4.21,9.47,7.37,7.89,0.0,2.3674999999999997
0.0,0.94,0.0,0.47,0.0,16.51,2.83,6.6,6.13,4.72,5.19,0.0,1.18
0.0,1.16,0.58,0.0,0.0,9.88,1.74,8.72,7.56,5.23,6.4,0.58,1.8925
2.42,0.0,0.0,0.0,0.0,10.14,3.86,5.8,3.38,6.28,7.73,0.0,1.9324999999999999
1.04,0.0,0.0,0.0,0.0,18.75,3.65,9.38,4.69,3.13,8.33,0.0,2.2125
1.13,1.69,1.69,0.0,0.0,10.17,2.82,11.86,3.95,2.82,9.04,1.13,1.27
1.11,0.0,0.0,0.0,0.0,12.78,2.78,5.56,7.22,6.67,5.56,0.28,1.5275
0.0,1.52,0.0,0.0,0.0,24.24,12.12,6.06,3.03,7.58,6.06,0.0,0.7575
0.93,6.54,4.67,0.0,0.0,13.08,3.74,2.8,0.0,5.61,10.28,0.0,0.935
0.0,1.54,0.0,0.77,0.0,9.23,0.0,8.46,0.77,3.85,14.62,0.0,0.5775
0.0,0.77,0.77,0.0,0.0,15.38,2.31,10.0,9.23,3.08,7.69,0.0,0.385
0.0,2.68,0.0,1.34,0.0,10.07,0.0,8.05,1.34,0.67,8.05,0.0,-0.1675
0.57,2.29,0.57,0.0,1.14,13.71,0.57,9.14,0.57,1.14,10.86,0.285,0.715
0.52,3.13,2.08,0.52,0.52,10.94,2.08,5.73,0.0,2.6,17.19,0.0,0.65
0.68,3.42,3.42,0.0,0.0,13.7,2.05,7.53,0.0,2.74,8.22,0.0,0.685
0.0,3.23,0.81,0.81,0.0,15.32,4.03,4.03,4.03,0.81,7.26,1.21,-0.2025
0.65,1.96,1.31,0.0,0.0,11.11,2.61,4.58,1.31,3.27,7.84,0.655,0.98
1.01,2.53,2.02,0.0,0.0,16.16,3.03,7.58,4.55,3.54,9.6,0.0,1.2650000000000001
0.0,2.65,0.0,0.0,0.0,14.16,0.88,11.5,0.0,0.0,5.31,0.44,0.0
0.53,2.14,0.0,0.0,0.0,9.09,1.6,14.44,0.53,1.6,9.09,0.535,0.535
1.06,2.12,0.53,0.0,1.06,18.52,5.29,10.05,0.0,2.12,8.99,1.325,0.7925
0.0,5.0,5.0,0.0,0.0,20.0,1.67,6.11,3.89,7.78,8.89,0.0,0.555
0.57,4.0,2.86,0.0,0.0,20.0,4.0,10.86,0.57,7.43,10.29,0.0,1.1425
1.05,3.15,2.1,0.0,1.05,18.53,2.1,12.94,1.75,5.94,6.64,0.175,1.3125
0.47,2.79,1.4,0.0,0.0,16.28,1.86,9.3,0.0,4.65,8.37,0.47,0.465
0.72,3.99,3.62,0.0,0.0,11.59,2.17,6.16,1.81,3.26,9.78,0.36,0.995
0.65,2.58,2.58,0.0,0.0,12.9,1.94,9.68,1.29,3.23,15.48,0.0,0.645
0.96,3.35,2.87,0.0,0.0,17.7,1.44,11.48,3.83,8.13,10.05,0.0,1.6775
1.94,1.94,0.65,0.0,0.0,12.26,1.29,11.61,0.0,7.1,12.9,0.645,1.29
1.09,3.28,2.92,0.0,0.0,19.71,2.92,8.76,2.19,2.92,13.14,0.0,0.5475
1.28,3.42,2.56,0.0,0.85,18.38,2.14,11.97,0.43,3.42,14.1,0.425,0.7475
0.52,3.13,2.08,0.0,0.0,18.75,3.65,9.38,0.52,4.69,10.42,1.04,0.9125
1.67,5.0,5.0,0.0,0.0,15.0,1.67,10.83,0.83,0.83,12.5,0.415,0.2075
0.7,1.76,1.76,0.0,0.0,13.73,1.76,9.15,1.76,4.93,17.96,0.0,1.145
1.55,1.55,1.16,0.0,0.0,13.57,2.33,11.63,0.0,3.49,12.79,0.0,1.26
0.0,3.33,3.33,0.0,0.0,6.67,6.67,10.0,0.0,10.0,6.67,0.0,3.3325
0.0,5.88,3.92,0.0,0.0,9.8,0.0,5.88,0.0,11.76,5.88,1.96,1.47
0.0,4.21,4.21,0.0,0.0,1.05,0.0,5.26,0.0,4.21,13.68,0.525,1.0525
1.2,3.01,0.6,0.0,0.0,13.86,2.41,9.04,0.0,3.61,16.27,2.41,1.355
0.0,3.74,2.14,0.53,0.0,12.3,1.6,7.49,4.81,6.42,10.16,1.335,1.74
0.0,5.5,4.59,0.0,0.0,11.93,1.83,12.84,4.59,6.42,8.26,1.375,2.2925
0.0,9.92,6.61,0.0,0.0,6.61,0.83,11.57,1.65,2.48,11.57,3.31,0.62
0.8,5.6,2.4,0.0,0.0,7.2,1.6,8.0,0.0,4.0,10.4,2.8,0.8
0.0,6.54,3.27,0.0,0.0,8.5,1.31,9.15,0.65,3.92,12.42,3.27,0.8175
0.86,5.17,3.45,0.0,0.0,12.07,3.45,9.48,2.59,3.45,12.93,1.72,1.0775000000000001
0.0,4.38,1.46,1.46,0.0,10.95,2.92,7.3,2.92,1.46,13.14,1.46,0.73
0.81,0.81,0.81,0.0,0.0,10.57,0.0,11.38,0.81,0.0,15.45,0.0,0.2025
0.0,3.7,3.09,0.0,0.0,9.88,1.85,8.64,2.47,1.23,11.73,0.62,1.0775000000000001
0.0,6.37,4.46,0.64,0.0,8.92,3.18,7.01,0.64,2.55,15.29,1.27,0.635
0.0,1.82,0.0,0.0,0.0,20.0,0.0,5.45,9.09,9.09,7.27,1.82,1.8175
0.67,2.0,0.67,0.67,0.0,12.0,5.33,5.33,4.0,4.67,17.33,0.0,0.8325
1.45,0.0,0.0,0.0,0.0,10.14,3.62,5.07,8.7,5.8,13.77,0.0,0.725
2.53,0.63,0.0,0.0,0.0,8.86,0.63,9.49,6.96,2.53,12.03,0.0,1.425
0.99,0.99,0.99,0.0,0.0,11.88,3.96,9.9,0.0,0.0,11.88,0.0,0.2475
0.0,1.33,1.33,0.0,0.0,10.67,4.0,8.0,2.67,2.67,18.67,0.665,1.0
2.44,0.0,0.0,0.0,0.0,11.38,4.07,4.07,1.63,1.63,15.45,0.0,0.8125
0.0,0.55,0.55,0.0,0.0,10.99,1.1,9.34,4.95,4.95,14.84,0.0,1.6500000000000001
0.0,2.78,2.78,0.0,0.0,12.04,0.0,9.26,1.85,4.63,12.04,0.0,1.39
2.42,1.21,0.61,0.0,0.0,18.79,4.85,13.94,1.82,2.42,12.73,0.61,1.5174999999999998
1.13,1.13,1.13,0.0,0.0,17.51,5.08,11.86,2.82,1.13,7.91,0.0,0.845
0.0,0.0,0.0,0.0,0.0,7.69,1.1,13.19,5.49,2.2,16.48,0.0,0.8250000000000001
0.69,0.0,0.0,0.0,0.0,11.03,2.07,5.52,0.69,4.83,15.86,0.0,1.2075
2.82,4.23,4.23,0.0,0.0,11.27,1.41,8.45,0.0,1.41,15.49,0.0,0.705
0.7,3.5,3.5,0.0,0.0,6.29,0.7,5.59,0.7,3.5,11.89,0.0,0.875
2.67,4.0,3.33,0.0,0.0,8.0,2.0,6.0,1.33,4.67,11.33,1.0,0.8325
1.37,2.05,2.05,0.0,0.0,13.01,0.68,4.79,0.68,3.42,15.07,0.0,1.7125
7.41,1.85,1.85,0.0,0.0,9.26,0.0,7.41,0.0,0.0,16.67,0.0,0.4625
0.0,3.68,3.07,0.0,0.0,8.59,0.61,5.52,0.0,2.45,13.5,0.61,1.0725
0.79,3.94,2.36,0.0,0.0,10.24,0.0,5.51,0.0,3.15,11.81,1.57,0.985
1.23,3.09,1.85,0.62,0.62,11.11,2.47,5.56,1.85,3.7,14.2,0.31,0.925
1.3,3.9,1.95,0.65,0.0,8.44,0.0,6.49,0.65,1.95,14.94,0.0,0.8125
0.61,2.44,2.44,0.0,0.0,12.2,1.83,6.71,0.0,2.44,17.07,0.0,1.22
1.2,1.8,1.8,0.0,0.0,10.78,2.4,5.99,0.0,4.19,12.57,0.0,1.6475
2.15,3.23,2.15,0.0,0.0,11.83,2.15,6.45,2.15,0.0,18.28,1.08,1.345
0.98,3.92,1.96,0.0,0.0,6.86,1.96,6.86,0.0,2.94,13.73,1.47,1.47
1.2,1.2,1.2,0.0,0.0,12.57,1.8,6.59,0.0,2.4,17.37,0.0,0.8975
0.0,3.85,3.85,0.0,0.0,6.41,2.56,2.56,7.69,8.97,11.54,0.0,1.2825
1.28,2.13,1.7,0.0,0.0,11.49,1.7,7.23,6.38,7.23,8.94,0.0,1.065
0.46,3.69,2.3,0.0,0.0,12.9,4.15,8.29,3.69,3.23,6.45,0.0,0.11499999999999996
1.59,2.65,0.53,1.06,0.0,14.81,1.59,10.58,6.35,4.76,8.99,1.5899999999999999,1.3225
0.88,2.2,1.32,0.0,0.88,15.86,2.64,7.49,2.2,3.08,8.81,0.0,0.55
5.59,1.24,1.24,0.0,0.0,8.07,0.62,11.18,2.48,0.0,9.32,0.93,0.775
5.56,0.0,0.0,0.0,0.0,6.35,0.79,9.52,1.59,4.76,16.67,0.0,1.19
1.5,3.5,3.0,0.0,0.0,12.0,3.5,6.5,1.5,5.5,10.0,0.0,0.5
